layer,group_idx,avg_scale,weight_variance
9,14,0.011186068877577782,0.00031278422102332115
9,15,0.011242854408919811,0.0003174605662934482
9,16,0.011241830885410309,0.0003153446305077523
9,17,0.011137200519442558,0.00031197568750940263
9,18,0.011173371225595474,0.0003143440408166498
9,19,0.011218266561627388,0.0003134616417810321
9,20,0.011224525980651379,0.000313092750729993
9,21,0.011267807334661484,0.00031768332701176405
9,22,0.011145721189677715,0.00031132149160839617
9,23,0.011267174035310745,0.00031704470166005194
9,24,0.011204198934137821,0.00031442471663467586
9,25,0.011192530393600464,0.00031234140624292195
9,26,0.011158959940075874,0.0003132389683742076
9,27,0.011194407939910889,0.00031554102315567434
9,28,0.011296000331640244,0.0003191751893609762
9,29,0.01124119944870472,0.00031742913415655494
9,30,0.011282416991889477,0.00031664155540056527
9,31,0.011199590750038624,0.00031410291558131576
9,32,0.01123037002980709,0.0003167776158079505
9,33,0.011187996715307236,0.0003148005926050246
9,34,0.01123896799981594,0.0003151552227791399
9,35,0.01126663014292717,0.00031688890885561705
9,36,0.011263400316238403,0.0003179704654030502
9,37,0.011229859665036201,0.0003158727486152202
9,38,0.011297889985144138,0.00031973031582310796
9,39,0.011234641075134277,0.0003145736991427839
9,40,0.01123768649995327,0.00031542452052235603
9,41,0.0112769715487957,0.00031818344723433256
9,42,0.011304328218102455,0.00031855388078838587
10,0,0.011299151927232742,0.0003209100686945021
10,1,0.011259819380939007,0.0003169570991303772
10,2,0.011211199685931206,0.0003146085364278406
10,3,0.01128470804542303,0.000316886929795146
10,4,0.011287951841950417,0.0003203288360964507
10,5,0.011286439374089241,0.0003200960345566273
10,6,0.011279003694653511,0.0003166494716424495
10,7,0.011365195736289024,0.0003221245715394616
10,8,0.011271892115473747,0.00031562201911583543
10,9,0.01129741221666336,0.0003182159853167832
10,10,0.011278534308075905,0.0003162918146699667
10,11,0.011265802197158337,0.00031568348640576005
10,12,0.011221801862120628,0.00031647286959923804
10,13,0.011234844103455544,0.0003180727653671056
10,14,0.011227868497371674,0.0003147362731397152
10,15,0.011253607459366322,0.0003175422316417098
10,16,0.011283323168754578,0.0003190599090885371
10,17,0.011326922103762627,0.0003199890779796988
10,18,0.011369992047548294,0.0003208732814528048
10,19,0.01129821315407753,0.0003187125257682055
10,20,0.011264210566878319,0.00031801819568499923
10,21,0.01135958731174469,0.00032416623434983194
10,22,0.011300157755613327,0.0003199760976713151
10,23,0.01138971745967865,0.00032394690788351
10,24,0.011315482668578625,0.0003210686263628304
10,25,0.011323593556880951,0.0003198743215762079
10,26,0.011277822777628899,0.0003168821567669511
10,27,0.011315613985061646,0.0003210170252714306
10,28,0.011308494955301285,0.0003205360262654722
10,29,0.011338826268911362,0.00032116036163643
10,30,0.011314550414681435,0.00031928569660522044
10,31,0.01134519837796688,0.00032282547908835113
10,32,0.011351734399795532,0.0003212828596588224
10,33,0.01133125089108944,0.00031879445305094123
10,34,0.011383548378944397,0.00032439749338664114
10,35,0.011382387951016426,0.00032108358573168516
10,36,0.01136152446269989,0.00032325953361578286
10,37,0.011358863674104214,0.00032017851481214166
10,38,0.011316385120153427,0.0003200531064067036
10,39,0.011327188462018967,0.0003224770480301231
10,40,0.011493241414427757,0.000327021989505738
10,41,0.011358838528394699,0.00032281369203701615
10,42,0.01131037250161171,0.0003197664045728743
11,0,0.011343162506818771,0.0003251641464885324
11,1,0.01138024777173996,0.0003238726349081844
11,2,0.011340265162289143,0.000321688741678372
11,3,0.011340504512190819,0.00032317396835424006
11,4,0.011353905312716961,0.0003228762943763286
11,5,0.011352590285241604,0.00032231988734565675
11,6,0.011292967945337296,0.0003206048859283328
11,7,0.011380882933735847,0.00032355613075196743
11,8,0.011311624199151993,0.0003209551505278796
11,9,0.011419028975069523,0.0003250939189456403
11,10,0.011458167806267738,0.00032799618202261627
11,11,0.011271760798990726,0.0003195935860276222
11,12,0.011329347267746925,0.0003221225633751601
